    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 9.920e-07 |
  2 |   2                3 6.610e-07 |
  3 |   3                5 5.710e-07 |
  4 |   3                5 5.310e-07 |
  5 |   4                7 6.210e-07 |
  6 |   4                8 5.620e-07 |
  7 |   5               10 5.110e-07 |
  8 |   5               12 5.510e-07 |
  9 |   5               10 5.310e-07 |
 10 |   6               13 5.710e-07 |
 11 |   6               15 1.543e-06 |
 12 |   6               13 9.010e-07 |
 13 |   7               17 8.610e-07 |
 14 |   7               20 7.810e-07 |
 15 |   7               20 8.410e-07 |
 16 |   7               16 7.220e-07 |
 17 |   8               20 8.210e-07 |
 18 |   8               23 8.320e-07 |
 19 |   8               24 1.062e-06 |
 20 |   8               21 8.510e-07 |
 21 |   9               25 1.833e-06 |
 22 |   9               29 1.042e-06 |
 23 |   9               30 7.910e-07 |
 24 |   9               28 9.420e-07 |
 25 |   9               21 6.110e-07 |
 26 |  10               25 7.120e-07 |
 27 |  10               29 6.710e-07 |
 28 |  10               29 8.220e-07 |
 29 |  10               26 7.810e-07 |
 30 |  10               21 5.410e-07 |
 31 |  11               25 5.910e-07 |
 32 |  11               28 6.610e-07 |
 33 |  11               27 6.010e-07 |
 34 |  11               23 5.010e-07 |
 35 |  12               27 5.810e-07 |
 36 |  12               30 6.110e-07 |
 37 |  12               29 6.120e-07 |
 38 |  12               25 5.310e-07 |
 39 |  13               29 5.810e-07 |
 40 |  13               32 6.210e-07 |
 41 |  13               31 6.110e-07 |
 42 |  13               27 5.810e-07 |
 43 |  14               30 6.110e-07 |
 44 |  14               32 6.620e-07 |
 45 |  14               31 6.510e-07 |
 46 |  14               28 6.010e-07 |
 47 |  15               31 6.110e-07 |
 48 |  15               33 6.710e-07 |
 49 |  15               31 6.210e-07 |
 50 |  16               34 6.110e-07 |
 55 |  17               33 2.084e-06 |
 60 |  20               39 1.262e-06 |
 65 |  22               46 9.520e-07 |
 70 |  24               51 1.342e-06 |
 75 |  25               57 1.052e-06 |
 80 |  26               66 1.162e-06 |
 85 |  27               69 1.072e-06 |
 90 |  28               61 1.253e-06 |
 95 |  30               62 1.393e-06 |
100 |  33               68 1.072e-06 |
110 |  37               79 4.258e-06 |
120 |  40               90 2.434e-06 |
130 |  42              100 2.134e-06 |
140 |  44              105 1.563e-06 |
150 |  46              111 1.572e-06 |
160 |  49              101 1.573e-06 |
170 |  54              114 1.462e-06 |
180 |  57              124 1.693e-06 |
190 |  59              128 1.773e-06 |
200 |  61              140 1.923e-06 |
220 |  68              139 3.957e-06 |
240 |  76              163 1.528e-05 |
260 |  80              172 3.076e-06 |
280 |  86              178 2.295e-06 |
300 |  93              198 2.354e-06 |
320 |  97              201 2.454e-06 |
340 | 107              223 2.685e-06 |
360 | 111              231 4.939e-06 |
380 | 116              252 3.065e-06 |
400 | 125              268 3.105e-06 |
420 | 130              282 9.788e-06 |
440 | 136              291 8.826e-06 |
460 | 144              307 8.676e-06 |
480 | 150              329 6.712e-06 |
500 | 156              331 7.053e-06 |
520 | 164              349 1.554e-05 |
540 | 169              379 8.356e-06 |
560 | 175              370 7.934e-06 |
580 | 182              390 8.105e-06 |
600 | 186              399 8.185e-06 |
620 | 193              406 8.285e-06 |
640 | 200              429 8.615e-06 |
660 | 205              433 9.969e-06 |
680 | 212              446 1.108e-05 |
700 | 220              467 9.337e-06 |
720 | 224              476 9.618e-06 |
740 | 234              498 9.818e-06 |
760 | 238              511 9.808e-06 |
780 | 242              521 1.117e-05 |
800 | 252              538 1.291e-05 |
--- + --- ---------------- --------- +
