    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 7.320e-07 |
  2 |   2                3 2.374e-06 |
  3 |   3                5 5.510e-07 |
  4 |   3                8 6.910e-07 |
  5 |   4               13 9.020e-07 |
  6 |   4               22 1.072e-06 |
  7 |   5               36 1.062e-06 |
  8 |   5               60 1.403e-06 |
  9 |   5               99 1.542e-06 |
 10 |   6              158 1.953e-06 |
 11 |   6              261 6.042e-06 |
 12 |   6              408 3.657e-06 |
 13 |   7              606 4.819e-06 |
 14 |   7              967 7.073e-06 |
 15 |   7             1451 1.054e-05 |
 16 |   7             2061 1.480e-05 |
 17 |   8             2799 1.982e-05 |
 18 |   8             4195 2.894e-05 |
 19 |   8             5987 4.128e-05 |
 20 |   8             8095 5.687e-05 |
 21 |   9            10497 8.778e-05 |
 22 |   9            15116 1.053e-04 |
 23 |   9            20948 1.438e-04 |
 24 |   9            27563 1.946e-04 |
 25 |   9            34881 2.391e-04 |
 26 |  10            42876 3.619e-04 |
 27 |  10            58496 4.565e-04 |
 28 |  10            77980 5.973e-04 |
 29 |  10            99428 7.678e-04 |
 30 |  10           122408 9.436e-04 |
 31 |  11           176287 1.378e-03 |
 32 |  11           232381 1.805e-03 |
 33 |  11           293465 2.245e-03 |
 34 |  11           357940 2.763e-03 |
 35 |  12           512576 3.926e-03 |
 36 |  12           670123 5.175e-03 |
 37 |  12           840334 6.611e-03 |
 38 |  12          1017890 7.844e-03 |
 39 |  13          1451622 1.112e-02 |
 40 |  13          1885955 1.509e-02 |
 41 |  13          2352404 2.118e-02 |
 42 |  13          2796292 2.133e-02 |
 43 |  14          3921899 2.986e-02 |
 44 |  14          5005830 3.867e-02 |
 45 |  14          6110056 4.656e-02 |
 46 |  14          7211503 5.397e-02 |
 47 |  15         10100597 7.675e-02 |
 48 |  15         15389352 1.172e-01 |
 49 |  15         18093237 1.363e-01 |
 50 |  16         25143524 1.920e-01 |
 55 |  17        103541612 8.615e-01 |
 60 |  20       1184081954 8.820e+00 |
 65 |  22       5456422418 3.309e+01 |
 70 |  24      24122674531 1.478e+02 |
 75 |  25      51173939638 2.972e+02 |
 80 |  26     110828737979 6.409e+02 |
 85 |  27     247948254253 1.411e+03 |
