    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2                3 1.122e-06 |
  2 |   3                6 9.220e-07 |
  3 |   4                9 7.910e-07 |
  4 |   4                9 7.510e-07 |
  5 |   5               12 8.020e-07 |
  6 |   5               12 7.920e-07 |
  7 |   6               15 8.110e-07 |
  8 |   6               15 7.520e-07 |
  9 |   6               15 8.110e-07 |
 10 |   7               18 8.420e-07 |
 11 |   7               18 1.222e-06 |
 12 |   7               18 6.310e-07 |
 13 |   8               21 5.610e-07 |
 14 |   8               21 5.510e-07 |
 15 |   8               21 3.700e-07 |
 16 |   8               21 4.100e-07 |
 17 |   9               24 3.910e-07 |
 18 |   9               24 4.010e-07 |
 19 |   9               24 3.910e-07 |
 20 |   9               24 4.010e-07 |
 21 |  10               27 1.764e-06 |
 22 |  10               27 8.120e-07 |
 23 |  10               27 6.510e-07 |
 24 |  10               27 6.510e-07 |
 25 |  10               27 1.062e-06 |
 26 |  11               30 6.520e-07 |
 27 |  11               30 6.610e-07 |
 28 |  11               30 6.910e-07 |
 29 |  11               30 7.510e-07 |
 30 |  11               30 6.510e-07 |
 31 |  12               33 6.410e-07 |
 32 |  12               33 6.210e-07 |
 33 |  12               33 6.210e-07 |
 34 |  13               36 5.610e-07 |
 35 |  13               36 5.910e-07 |
 36 |  13               36 5.310e-07 |
 37 |  14               39 5.610e-07 |
 38 |  14               39 5.810e-07 |
 39 |  14               39 5.510e-07 |
 40 |  14               39 5.410e-07 |
 41 |  15               42 5.610e-07 |
 42 |  15               42 5.610e-07 |
 43 |  15               42 5.910e-07 |
 44 |  16               45 6.410e-07 |
 45 |  16               45 6.410e-07 |
 46 |  16               45 6.110e-07 |
 47 |  16               45 6.110e-07 |
 48 |  17               48 6.310e-07 |
 49 |  17               48 5.910e-07 |
 50 |  17               48 5.710e-07 |
 55 |  19               54 1.613e-06 |
 60 |  21               60 1.082e-06 |
 65 |  23               66 6.210e-07 |
 70 |  24               69 5.710e-07 |
 75 |  25               72 7.810e-07 |
 80 |  26               75 6.510e-07 |
 85 |  27               78 6.810e-07 |
 90 |  29               84 7.210e-07 |
 95 |  31               90 7.110e-07 |
100 |  34               99 6.620e-07 |
110 |  38              111 2.044e-06 |
120 |  41              120 1.633e-06 |
130 |  43              126 9.010e-07 |
140 |  45              132 1.052e-06 |
150 |  46              135 9.520e-07 |
160 |  50              147 9.320e-07 |
170 |  54              159 9.210e-07 |
180 |  57              168 9.710e-07 |
190 |  59              174 1.072e-06 |
200 |  61              180 1.152e-06 |
220 |  68              201 2.865e-06 |
240 |  75              222 1.723e-06 |
260 |  78              231 2.565e-06 |
280 |  85              252 2.054e-06 |
300 |  93              276 1.472e-06 |
320 |  98              291 1.513e-06 |
340 | 107              318 1.532e-06 |
360 | 112              333 1.593e-06 |
380 | 116              345 1.743e-06 |
400 | 125              372 1.753e-06 |
420 | 130              387 3.977e-06 |
440 | 135              402 4.068e-06 |
460 | 143              426 2.284e-06 |
480 | 148              441 2.124e-06 |
500 | 155              462 2.194e-06 |
520 | 162              483 2.174e-06 |
540 | 167              498 2.274e-06 |
560 | 174              519 2.304e-06 |
580 | 181              540 2.434e-06 |
600 | 185              552 2.484e-06 |
620 | 190              567 2.535e-06 |
640 | 197              588 2.625e-06 |
660 | 202              603 2.655e-06 |
680 | 207              618 2.705e-06 |
700 | 215              642 2.756e-06 |
720 | 219              654 2.855e-06 |
740 | 228              681 2.895e-06 |
760 | 233              696 2.975e-06 |
780 | 236              705 3.116e-06 |
800 | 245              732 3.166e-06 |
--- + --- ---------------- --------- +
